N,NITS,Error, FLOPS, Time,Time/Call, MFLOPS
1024,10,2.308607e-16, 1024000, 0.00238,1.189947e-04,430.271218
2048,10,2.447624e-16, 2252800, 0.00307,1.532912e-04,734.810487
4096,10,2.479782e-16, 4915200, 0.00535,2.674460e-04,918.914331
8192, 1,2.578834e-16, 1064960, 0.00086,4.304647e-04, 1236.988642
16384, 1,2.731273e-16, 2293760, 0.00178,8.875132e-04, 1292.239992
32768, 1,2.921322e-16, 4915200, 0.00335,1.675487e-03, 1466.797796
65536, 1,2.828400e-16,10485760, 0.00750,3.749490e-03, 1398.291581
131072, 1,3.149840e-16,22282240, 0.01537,7.683516e-03, 1450.002922
262144, 1,3.219822e-16,47185920, 0.03317,1.658559e-02, 1422.497614
524288, 1,3.279652e-16,99614720, 0.06680,3.339791e-02, 1491.331510
1048576, 1,3.284238e-16, 209715200, 0.14703,7.351601e-02, 1426.323303
2097152, 1,3.509064e-16, 440401920, 0.29708,1.485405e-01, 1482.430480
4194304, 1,3.560301e-16, 922746880, 0.65627,3.281336e-01, 1406.053704
8388608, 1,3.711263e-16,1929379840, 1.32303,6.615140e-01, 1458.306031
16777216, 1,3.653336e-16,4026531840, 2.89307,1.446536e+00, 1391.783774
33554432, 1,3.816355e-16,8388608000, 5.73156,2.865782e+00, 1463.580959